법정동코드2,시군구명,동리명,관리건축물대장PK,대지면적(㎡),건축면적(㎡),연면적(㎡),구조코드명,주용도코드명,높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,빌딩연차,기타용도,공동주택,공장,단독주택,문화및집회시설,숙박시설,업무시설,위험물저장및처리시설,제1종근린생활시설,제2종근린생활시설,창고시설,시군구명,면적,휴게음식점,일반음식점,제과점,단란주점,유흥주점,사업체수,숙박 및 음식점업 사업체수,RN_COUNT,RN_COUNT_under4,ROAD_BT_MEAN,RN_length_under4,RN_length_under3,RN_COUNT_under3,RN_length_under2,RN_COUNT_under2,RN_under4_rate,RN_under3_rate,RN_under2_rate,비상소화장치_count,소화용수_count,가판대_count,공영주차장수,주차 면(주차 가능 차량 수),건물수,건물구조조,건물구조즙,장소중분류,장소소분류,소방서거리(㎞),안전센터거리,부동산,동산,재산피해소계,관할인구(명),관할면적(km2)
1144011100,마포구,신수동,11440-16452,0.0,790.21,8771.35,철근콘크리트구조,공동주택,34.5,12,1,2,0,20,아파트,89.1,1.7,423.26666666666665,0.8,6.966666666666668,18.366666666666664,0.26666666666666666,89.8,75.7,2.4,마포구,0.8300000000000001,80.5,265.0,10.5,4.5,5.0,1388.5,285.0,99.6,56.93333333333334,4.336553135047859,39.64078362942183,25.913126937062934,32.6,19.94576888888889,9.266666666666667,0.5578069039668658,0.3141539649728551,0.08560676616011327,4.166666666666667,59.333333333333336,3.0,1.5,120.0,679.7333333333332,철근콘크리트조,슬라브가,공동주택,아파트,0.8,0.8,112.0,45.0,157,59818,3.11
1135010300,노원구,공릉동,11350-11218,0.0,82.72,249.98,벽돌구조,공동주택,0.0,2,1,0,0,28,다세대주택,893.0,5.0,1282.0,3.0,3.0,22.0,12.0,325.0,286.0,6.0,노원구,4.115,98.5,351.0,12.5,4.5,0.0,2341.5,399.0,366.0,36.0,7.398907103825136,82.16666666666667,77.0,3.0,0.0,0.0,0.09836065573770493,0.008196721311475409,0.0,7.0,733.0,1.0,5.0,48.4,3106.0,벽돌조,슬라브가,공동주택,다세대주택,1.5,1.3,0.0,20.0,20,83755,8.23
1141010700,서대문구,옥천동,11410-2407,82.6,49.5,147.87,철근콘크리트구조,공동주택,8.1,2,1,0,0,22,공동주택(다세대주택),33.6,0.6,137.4,3.2,0.4,0.6,0.2,47.4,16.4,0.2,서대문구,1.12,32.0,156.0,4.0,2.0,2.0,941.0,196.0,23.4,13.4,3.64070686070686,32.7297775689223,29.41159420289855,9.2,20.547619047619047,3.2,0.5726495726495727,0.3931623931623932,0.13675213675213674,3.0,19.6,1.0,0.0,0.0,185.4,철근콘크리트조,슬라브가,공동주택,다세대주택,4.7,2.0,0.0,24.0,24,51095,2.55
1126010100,중랑구,면목동,11260-5743,115.7,66.17,198.51,벽돌구조,단독주택,0.0,2,1,0,0,26,다가구용단독주택(3가구),1688.0,10.0,8448.0,3.0,15.0,18.0,6.0,1061.0,598.0,14.0,중랑구,1.0050000000000001,36.333333333333336,231.16666666666666,5.333333333333333,4.833333333333333,0.8333333333333334,1691.1666666666667,248.33333333333334,1731.0,1141.0,3.4354194107452343,35.54951796669588,28.221649484536083,582.0,0.0,0.0,0.6591565569035239,0.3362218370883882,0.0,35.0,684.0,1.0,11.0,72.72727272727273,11987.0,벽돌조,슬라브가,단독주택,다가구주택,4.7,1.6,0.0,11.0,11,110238,4.18
1150010200,강서구,등촌동,11500-25480,283.2,131.96,598.29,철근콘크리트구조,공동주택,12.8,4,1,0,0,23,다세대주택,857.0,28.0,670.0,2.0,3.0,89.0,5.0,175.0,230.0,5.0,강서구,0.7666666666666666,80.33333333333333,223.0,10.666666666666666,2.0,0.0,1762.0,261.0,194.0,67.0,5.479381443298969,56.04477611940299,35.78947368421053,19.0,33.0,3.0,0.345360824742268,0.0979381443298969,0.015463917525773196,4.0,305.0,0.0,2.0,71.5,2190.0,철근콘크리트조,슬라브가,공동주택,연립주택,1.6,1.6,330.0,332.0,662,163200,6.15
1162010200,관악구,신림동,11620-4412,384.61,228.6,1877.72,철근콘크리트구조,숙박시설,21.7,8,1,1,0,23,일반숙박시설,3111.0,1.0,11013.0,5.0,125.0,194.0,8.0,1330.0,1980.0,12.0,관악구,1.6490909090909092,48.54545454545455,214.45454545454547,5.181818181818182,5.0,15.181818181818182,1313.2727272727273,287.54545454545456,2261.0,462.0,5.412050862450244,997.5150779220784,50.43351851851855,243.0,41.14649999999997,94.0,0.20433436532507737,0.10747456877487838,0.04157452454666077,109.0,1691.0,16.0,15.0,77.60000000000001,18231.0,철근콘크리트조,슬라브가,숙박시설,모텔,3.6,1.0,146.0,50.0,196,85595,3.37
1150010300,강서구,화곡동,11500-100265772,262.8,153.33,523.8,철근콘크리트구조,공동주택,16.6,6,0,1,0,2,도시형생활주택(단지형다세대),5320.4375,2.8125,5104.1875,4.9375,120.0,126.125,5.8125,911.6875,832.0625,8.5,강서구,1.08,57.5,270.75,7.625,16.75,13.25,1598.875,301.5,1073.5,406.9375,4.4284157281013545,56.78011592741934,42.32607886904761,105.375,64.19117647058825,15.9375,0.3784593902454371,0.09791669288409936,0.014771862891915661,15.125,970.9375,4.0,20.75,102.42613636363635,12622.125,철근콘크리트조,슬라브가,공동주택,다세대주택,6.1,2.6,0.0,26.0,26,132673,2.94
1135010600,노원구,중계동,11350-6599,89.0,52.92,176.02,벽돌구조,단독주택,9.0,3,1,0,0,25,다가구용 단독주택(6가구),744.625,0.875,1043.375,5.875,2.625,12.375,3.375,210.375,175.0,3.0,노원구,1.3,64.5,141.5,9.0,0.0,0.0,1152.0,180.25,351.875,143.375,4.599089547337233,66.61461875499602,73.1715879032258,61.75,37.011155172413794,9.75,0.4678412140251006,0.20146251048931701,0.0272376441224476,11.875,347.875,8.75,4.25,66.27083333333334,2355.75,벽돌조,슬라브가,단독주택,다가구주택,3.0,1.0,0.0,60.0,60,131158,9.0
1129013500,성북구,종암동,11290-28200,0.0,182.75,642.49,철근콘크리트구조,공동주택,0.0,3,1,0,0,26,다세대주택,427.0,4.0,1275.0,1.0,7.0,7.0,2.0,302.0,218.0,9.0,성북구,1.46,66.0,266.0,9.0,5.0,1.0,2022.0,316.0,264.0,110.0,4.014215909090908,75.22727272727273,71.63492063492063,63.0,275.5,2.0,0.4166666666666667,0.23863636363636365,0.007575757575757577,19.0,235.0,1.0,0.0,0.0,2254.0,철근콘크리트조,슬라브가,공동주택,다세대주택,1.3,1.3,0.0,30.0,30,107498,5.45
1153010600,구로구,고척동,11530-19615,0.0,90.45,285.63,벽돌구조,단독주택,0.0,2,1,0,0,30,주택,576.0,21.0,1925.0,4.0,4.0,16.0,4.0,289.0,179.0,29.0,구로구,1.0899999999999999,94.0,400.5,8.5,2.5,0.0,1998.5,243.5,259.0,125.0,4.06949806949807,54.61600000000001,52.64285714285714,70.0,43.68965517241379,29.0,0.4826254826254826,0.2702702702702703,0.11196911196911197,9.0,212.0,1.0,2.0,143.5,2935.0,블록조,슬라브가,단독주택,다가구주택,0.8,0.8,0.0,20.0,20,103346,3.79
