법정동코드2,시군구명,동리명,빌딩연차,관리건축물대장PK,기타용도,구조코드명,대지면적(㎡),건축면적(㎡),연면적(㎡),주용도코드명,높이(m),지상층수,지하층수,세대수(세대),가구수(가구),공동주택,공장,단독주택,문화및집회시설,숙박시설,업무시설,위험물저장및처리시설,제1종근린생활시설,제2종근린생활시설,창고시설,면적대비 생활인구 밀도,2018연간가스사용량,2018연간전기사용량,0-5 시간대 생활인구,6-11 시간대 생활인구,12-17 시간대 생활인구,18-23 시간대 생활인구,시간대별 생활인구 총합계,전체세대수,인구,인구밀도,전체평균연령,65세이상인구수,65세이상인구비율,휴게음식점,일반음식점,제과점,단란주점,유흥주점,사업체수,건물수,fire_YN
1150010300,강서구,화곡동,28,11500-15471,단독주택,벽돌구조,178.5,84.8,247.41,단독주택,7.8,2,1,0,1,5320.4375,2.8125,5104.1875,4.9375,120.0,126.125,5.8125,911.6875,832.0625,8.5,11483558.133750001,187623870.375,265048389.25,65012500.0,57050000.0,51237500.0,59375000.0,232750000.0,13640.125,31827.5,36610.5,42.0125,4250.375,0.145576168125,57.5,270.75,7.625,16.75,13.25,1598.875,12622.125,0
1129013800,성북구,장위동,44,11290-33020,주택,벽돌구조,0.0,0.0,59.14,단독주택,0.0,1,1,0,1,863.0,2.0,4649.0,0.0,3.0,4.0,8.0,569.0,183.0,5.0,8400215.040000001,42233919.0,45916063.0,36666666.666666664,34100000.0,31533333.333333332,34033333.333333336,136333333.33333334,6750.333333333333,15995.333333333334,23600.0,45.166666666666664,2816.6666666666665,0.17654423133333333,20.333333333333332,142.0,3.6666666666666665,4.0,0.0,1011.3333333333334,6211.0,0
1121510500,광진구,자양동,21,11215-16845,다가구용단독주택(3가구),벽돌구조,105.64,63.16,179.92,단독주택,7.6,2,1,0,3,1184.0,8.0,4100.0,3.0,10.0,45.0,3.0,608.0,349.0,8.0,9728109.7875,200424091.0,219620127.0,56550000.0,55750000.0,55575000.0,60100000.0,228000000.0,10919.5,26524.25,26279.0,42.675,3413.25,0.12924024775,73.25,254.5,7.5,5.0,0.25,1636.75,6449.0,0
1150010300,강서구,화곡동,8,11500-100209083,업무시설 및 다세대주택(6세대),철근콘크리트구조,153.0,90.9,442.68,공동주택,18.0,6,0,6,0,5320.4375,2.8125,5104.1875,4.9375,120.0,126.125,5.8125,911.6875,832.0625,8.5,11483558.133750001,187623870.375,265048389.25,65012500.0,57050000.0,51237500.0,59375000.0,232750000.0,13640.125,31827.5,36610.5,42.0125,4250.375,0.145576168125,57.5,270.75,7.625,16.75,13.25,1598.875,12622.125,0
1111017300,종로구,명륜3가,41,11110-11792,주택,벽돌구조,0.0,0.0,108.76,공동주택,0.0,2,0,2,0,63.83333333,0.166666667,247.8333333,21.83333333,1.0,2.166666667,0.166666667,30.0,79.5,1.0,10900297.62,76962870.0,48520576.0,65900000.0,70000000.0,79800000.0,77200000.0,293000000.0,9257.0,20366.0,18184.0,41.0,2546.0,0.125012275,123.0,699.0,7.0,0.0,0.0,1737.0,353.83333333333326,0
1174010500,강동구,길동,35,11740-20537,"근린생활시설,다가구주택",철근콘크리트구조,0.0,143.16,444.84,단독주택,0.0,3,1,0,4,673.0,0.0,821.0,0.0,33.0,29.0,1.0,179.0,192.0,5.0,8294930.88,94823377.0,98683010.0,118000000.0,105000000.0,98800000.0,111000000.0,432000000.0,20314.0,47171.0,21738.0,43.2,6768.0,0.143477984,100.0,566.0,16.0,24.0,117.0,4054.0,1999.0,0
1117013600,용산구,보광동,21,11170-4619,"근린생활시설, 주택",철근콘크리트구조,347.38,202.92,1088.28,제1종근린생활시설,15.7,5,1,0,1,172.0,0.0,2053.0,0.0,1.0,0.0,1.0,101.0,80.0,3.0,6866197.18,12636660.0,7913295.0,32000000.0,29000000.0,26900000.0,29200000.0,117000000.0,7742.0,16124.0,22710.0,45.7,2673.0,0.16577772300000002,20.0,162.0,3.0,4.0,0.0,844.0,2377.0,0
1129013300,성북구,정릉동,46,11290-17922,주택,벽돌구조,0.0,0.0,190.97,단독주택,0.0,2,1,0,1,1259.375,3.25,3318.0,11.75,2.625,7.125,7.0,373.625,339.375,9.375,6519964.2725,208510820.25,117002409.0,47200000.0,43450000.0,39950000.0,43950000.0,174750000.0,8923.0,21841.0,19112.0,43.35,3620.75,0.166031515,27.25,127.0,5.25,1.25,0.0,809.5,5276.625,0
1111014800,종로구,계동,25,11110-19321,다가구용단독주택,벽돌구조,187.03,90.32,328.65,단독주택,9.9,3,1,0,6,34.0,0.0,217.5,6.25,0.0,2.5,0.0,28.5,40.0,0.0,7013888.89,24662306.0,27656781.0,17200000.0,24900000.0,29100000.0,19800000.0,90900000.0,2061.0,4546.0,8419.0,46.1,898.0,0.19753629600000006,63.0,197.0,5.0,1.0,1.0,747.0,156.0,0
1153010700,구로구,개봉동,28,11530-11652,다가구주택(6가구),벽돌구조,133.6,69.31,224.01,단독주택,8.95,3,1,0,1,1439.0,6.0,2449.0,0.0,6.0,8.0,4.0,372.0,236.0,8.0,9293171.59,163722189.0,102864608.0,59366666.666666664,51000000.0,45500000.0,54366666.666666664,210333333.33333334,11808.666666666666,30176.333333333332,31984.333333333332,43.633333333333326,4916.0,0.162795735,32.0,232.66666666666666,7.333333333333333,8.0,0.6666666666666666,1288.0,4458.0,0
