법정동코드2,시군구명,동리명,관리건축물대장PK,대지면적(㎡),건축면적(㎡),연면적(㎡),구조코드명,주용도코드명,높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,빌딩연차,기타용도,공동주택,공장,단독주택,문화및집회시설,숙박시설,업무시설,위험물저장및처리시설,제1종근린생활시설,제2종근린생활시설,창고시설,시군구명.1,면적,휴게음식점,일반음식점,제과점,단란주점,유흥주점,사업체수,숙박 및 음식점업 사업체수,RN_COUNT,RN_COUNT_under4,ROAD_BT_MEAN,RN_length_under4,RN_length_under3,RN_COUNT_under3,RN_length_under2,RN_COUNT_under2,RN_under4_rate,RN_under3_rate,RN_under2_rate,비상소화장치_count,소화용수_count,가판대_count,공영주차장수,주차 면(주차 가능 차량 수),건물수,건물구조조,건물구조즙,장소중분류,장소소분류,소방서거리(㎞),안전센터거리,부동산,동산,재산피해소계,관할인구(명),관할면적(km2),면적대비 생활인구 밀도,2018연간가스사용량,2018연간전기사용량,0-5 시간대 생활인구,6-11 시간대 생활인구,12-17 시간대 생활인구,18-23 시간대 생활인구,시간대별 생활인구 총합계,전체세대수,인구,인구밀도,전체평균연령,65세이상인구수,65세이상인구비율,피해규모예측,화재발생예측,grade,grade2
1150010300,강서구,화곡동,11500-16458,126.9,62.98,249.38,벽돌구조,단독주택,10.5,3,1,0,0,28,단독주택,5320.4375,2.8125,5104.1875,4.9375,120.0,126.125,5.8125,911.6875,832.0625,8.5,강서구,1.08,57.5,270.75,7.625,16.75,13.25,1598.875,301.5,1073.5,406.9375,4.4284157281013545,56.780115927419345,42.326078869047606,105.375,64.19117647058825,15.9375,0.3784593902454371,0.09791669288409936,0.01477186289191566,15.125,970.9375,4.0,20.75,102.42613636363636,12622.125,철근콘크리트조,슬라브가,단독주택,단독주택,4.3,2.1,0.0,11.0,11,135993,5.95,11483558.13375,187623870.375,265048389.25,65012500.0,57050000.0,51237500.0,59375000.0,232750000.0,13640.125,31827.5,36610.5,42.0125,4250.375,0.145576168125,120.56449450704265,53.44594890317096,26.734758799139453,4
1150010900,강서구,방화동,11500-1671,12258.64,360.31,4860.5,철근콘크리트구조,공동주택,41.35,15,1,1,0,24,아파트,568.25,2.5,1174.7083333333335,0.125,3.0,26.25,9.666666666666668,224.4583333333333,185.375,11.75,강서구,5.175,83.5,281.0,14.25,3.25,2.0,2249.75,296.25,271.125,116.70833333333334,6.713557694775047,290.1196921521036,399.03935185185196,62.41666666666667,761.0041666666667,18.25,0.4239983675548905,0.2288206769480954,0.06679193839399752,3.708333333333333,339.16666666666663,0.5,5.25,130.55357142857144,2241.6666666666665,철근콘크리트조,슬라브가,공동주택,아파트,4.5,1.1,0.0,45.0,45,115215,9.12,4373936.8275,134106770.0,350761055.25,65125000.0,68100000.0,67125000.0,65225000.0,265750000.0,13271.25,31076.5,15370.25,42.625,4551.75,0.15213491775,91.29825420162574,93.04398944553363,23.317703562653872,5
1150010300,강서구,화곡동,11500-17132,206.0,102.76,329.08,철근콘크리트구조,공동주택,10.55,3,1,0,0,28,다세대주택,5320.4375,2.8125,5104.1875,4.9375,120.0,126.125,5.8125,911.6875,832.0625,8.5,강서구,1.08,57.5,270.75,7.625,16.75,13.25,1598.875,301.5,1073.5,406.9375,4.4284157281013545,56.780115927419345,42.326078869047606,105.375,64.19117647058825,15.9375,0.3784593902454371,0.09791669288409936,0.01477186289191566,15.125,970.9375,4.0,20.75,102.42613636363636,12622.125,철근콘크리트조,슬라브가,공동주택,다세대주택,3.4,2.4,0.0,11.0,11,135993,5.95,11483558.13375,187623870.375,265048389.25,65012500.0,57050000.0,51237500.0,59375000.0,232750000.0,13640.125,31827.5,36610.5,42.0125,4250.375,0.145576168125,95.39096355019466,81.01150174059752,23.636939035384252,5
1150010600,강서구,내발산동,11500-1780,0.0,269.04,3707.6,철근콘크리트구조,공동주택,45.85,17,0,0,1,13,아파트,1763.25,1.25,1529.25,3.25,33.333333333333336,50.66666666666666,5.25,294.75,270.5833333333333,5.166666666666666,강서구,1.975,73.0,217.5,15.0,1.5,1.0,2012.0,244.0,348.5,123.41666666666669,6.616637058708651,74.67762470131422,61.28695436507938,31.83333333333333,58.61764705882353,4.75,0.29676735559088496,0.08121356650768416,0.014109697933227344,5.166666666666667,350.08333333333337,3.0,7.0,146.11363636363637,4057.833333333333,철근콘크리트조,슬라브가,공동주택,아파트,4.2,1.0,0.0,136.0,136,135993,5.95,8150906.585,194459138.0,389272246.0,75350000.0,73700000.0,69050000.0,73150000.0,291500000.0,15027.0,42642.0,27474.5,39.15,4730.0,0.110682405,91.29825420162574,81.31163610074698,21.798066091341816,5
1150010200,강서구,등촌동,11500-18929,218.0,94.36,374.16,철근콘크리트구조,공동주택,9.7,3,1,0,0,26,다세대주택(7세대),857.0,28.0,670.0,2.0,3.0,89.0,5.0,175.0,230.0,5.0,강서구,0.7666666666666666,80.33333333333333,223.0,10.666666666666666,2.0,0.0,1762.0,261.0,194.0,67.0,5.479381443298969,56.04477611940299,35.78947368421053,19.0,33.0,3.0,0.34536082474226804,0.0979381443298969,0.015463917525773196,4.0,305.0,0.0,2.0,71.5,2190.0,철근콘크리트조,슬라브가,공동주택,다세대주택,3.0,2.3,0.0,33.0,33,163200,6.15,11550859.636666665,124362002.0,180271213.0,53133333.33333334,51833333.33333334,51300000.0,50000000.0,206333333.3333333,11777.666666666664,26318.33333333333,35365.0,42.16666666666666,3732.666666666666,0.13716097133333333,129.70656620915935,72.78012161217426,33.830356941124116,4
1150010300,강서구,화곡동,11500-19456,281.0,155.1,647.38,철근콘크리트구조,공동주택,13.3,4,1,0,0,22,다세대주택,5320.4375,2.8125,5104.1875,4.9375,120.0,126.125,5.8125,911.6875,832.0625,8.5,강서구,1.08,57.5,270.75,7.625,16.75,13.25,1598.875,301.5,1073.5,406.9375,4.4284157281013545,56.780115927419345,42.326078869047606,105.375,64.19117647058825,15.9375,0.3784593902454371,0.09791669288409936,0.01477186289191566,15.125,970.9375,4.0,20.75,102.42613636363636,12622.125,철근콘크리트조,슬라브가,공동주택,다세대주택,2.2,1.1,0.0,90.0,90,132673,2.94,11483558.13375,187623870.375,265048389.25,65012500.0,57050000.0,51237500.0,59375000.0,232750000.0,13640.125,31827.5,36610.5,42.0125,4250.375,0.145576168125,75.59188338903188,86.34043042388623,12.475783959689238,5
1150010300,강서구,화곡동,11500-19518,116.31,57.56,166.93,철근콘크리트구조,단독주택,7.7,2,1,0,0,30,주택,5320.4375,2.8125,5104.1875,4.9375,120.0,126.125,5.8125,911.6875,832.0625,8.5,강서구,1.08,57.5,270.75,7.625,16.75,13.25,1598.875,301.5,1073.5,406.9375,4.4284157281013545,56.780115927419345,42.326078869047606,105.375,64.19117647058825,15.9375,0.3784593902454371,0.09791669288409936,0.01477186289191566,15.125,970.9375,4.0,20.75,102.42613636363636,12622.125,철근콘크리트조,슬라브가,단독주택,단독주택,4.5,3.3,0.0,12.0,12,135993,5.95,11483558.13375,187623870.375,265048389.25,65012500.0,57050000.0,51237500.0,59375000.0,232750000.0,13640.125,31827.5,36610.5,42.0125,4250.375,0.145576168125,221.51337727858285,55.10491999534627,46.5631705906101,3
1150010100,강서구,염창동,11500-20886,1425.0,493.59,5515.51,철근콘크리트구조,공동주택,24.3,9,2,3,0,11,아파트,305.5,23.0,98.5,1.0,4.5,30.0,5.0,72.0,81.5,16.5,강서구,1.74,79.0,257.0,14.0,6.0,2.0,2126.0,274.0,49.0,11.5,6.4012578616352185,86.08928571428572,76.0,6.0,50.25,1.0,0.2346938775510204,0.12244897959183673,0.020408163265306117,1.0,104.5,0.0,3.0,71.0,675.5,철근콘크리트조,슬라브가,공동주택,아파트,2.5,2.5,0.0,19.0,19,163200,6.15,6393678.16,126927463.0,220525361.0,71700000.0,66400000.0,60200000.0,68500000.0,267000000.0,14649.0,41016.0,23572.0,38.2,3733.0,0.09101326300000001,143.6329347458837,81.05081667326088,39.55953122214514,4
1150010300,강서구,화곡동,11500-21286,240.5,144.02,659.95,철근콘크리트구조,공동주택,13.1,4,1,0,0,16,다세대주택,5320.4375,2.8125,5104.1875,4.9375,120.0,126.125,5.8125,911.6875,832.0625,8.5,강서구,1.08,57.5,270.75,7.625,16.75,13.25,1598.875,301.5,1073.5,406.9375,4.4284157281013545,56.780115927419345,42.326078869047606,105.375,64.19117647058825,15.9375,0.3784593902454371,0.09791669288409936,0.01477186289191566,15.125,970.9375,4.0,20.75,102.42613636363636,12622.125,철근콘크리트조,슬라브가,공동주택,다세대주택,5.0,5.1,0.0,15.0,15,132673,2.94,11483558.13375,187623870.375,265048389.25,65012500.0,57050000.0,51237500.0,59375000.0,232750000.0,13640.125,31827.5,36610.5,42.0125,4250.375,0.145576168125,105.40349011126156,86.34043042388623,28.5984600532961,4
1150010300,강서구,화곡동,11500-21842,186.0,111.48,550.13,철근콘크리트구조,공동주택,12.53,4,1,0,0,17,다세대주택,5320.4375,2.8125,5104.1875,4.9375,120.0,126.125,5.8125,911.6875,832.0625,8.5,강서구,1.08,57.5,270.75,7.625,16.75,13.25,1598.875,301.5,1073.5,406.9375,4.4284157281013545,56.780115927419345,42.326078869047606,105.375,64.19117647058825,15.9375,0.3784593902454371,0.09791669288409936,0.01477186289191566,15.125,970.9375,4.0,20.75,102.42613636363636,12622.125,철근콘크리트조,슬라브가,공동주택,다세대주택,2.3,1.0,0.0,20.0,20,132673,2.94,11483558.13375,187623870.375,265048389.25,65012500.0,57050000.0,51237500.0,59375000.0,232750000.0,13640.125,31827.5,36610.5,42.0125,4250.375,0.145576168125,75.59188338903188,81.01150174059752,12.084650156337947,5
1150010200,강서구,등촌동,11500-23918,218.2,95.08,448.8,철근콘크리트구조,공동주택,12.4,4,1,0,0,27,다세대주택(10세대),857.0,28.0,670.0,2.0,3.0,89.0,5.0,175.0,230.0,5.0,강서구,0.7666666666666666,80.33333333333333,223.0,10.666666666666666,2.0,0.0,1762.0,261.0,194.0,67.0,5.479381443298969,56.04477611940299,35.78947368421053,19.0,33.0,3.0,0.34536082474226804,0.0979381443298969,0.015463917525773196,4.0,305.0,0.0,2.0,71.5,2190.0,철근콘크리트조,슬라브가,공동주택,다세대주택,2.0,2.0,0.0,27.0,27,163200,6.15,11550859.636666665,124362002.0,180271213.0,53133333.33333334,51833333.33333334,51300000.0,50000000.0,206333333.3333333,11777.666666666664,26318.33333333333,35365.0,42.16666666666666,3732.666666666666,0.13716097133333333,136.14383091926268,74.88616536449165,36.07820076815282,4
