grade2,법정동코드2,대지면적(㎡),건축면적(㎡),연면적(㎡),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,빌딩연차,공동주택,공장,단독주택,문화및집회시설,숙박시설,업무시설,위험물저장및처리시설,제1종근린생활시설,제2종근린생활시설,창고시설,면적,휴게음식점,일반음식점,제과점,단란주점,유흥주점,사업체수,숙박 및 음식점업 사업체수,RN_COUNT,RN_COUNT_under4,ROAD_BT_MEAN,RN_length_under4,RN_length_under3,RN_COUNT_under3,RN_length_under2,RN_COUNT_under2,RN_under4_rate,RN_under3_rate,RN_under2_rate,비상소화장치_count,소화용수_count,가판대_count,공영주차장수,주차 면(주차 가능 차량 수),건물수,소방서거리(㎞),안전센터거리,부동산,동산,재산피해소계,관할인구(명),관할면적(km2),면적대비 생활인구 밀도,2018연간가스사용량,2018연간전기사용량,0-5 시간대 생활인구,6-11 시간대 생활인구,12-17 시간대 생활인구,18-23 시간대 생활인구,시간대별 생활인구 총합계,전체세대수,인구,인구밀도,전체평균연령,65세이상인구수,65세이상인구비율,피해규모예측,화재발생예측,grade
1,1151886083.3333333,2728.6666666666665,873.0758333333333,5577.250833333333,29.1875,11.083333333333334,0.8333333333333334,0.8333333333333334,0.25,20.25,899.6694444444443,8.430555555555557,1901.5083333333334,2.1305555555555555,8.980555555555556,38.15555555555556,4.722222222222221,305.27777777777777,264.1361111111111,9.294444444444444,2.2479444444444447,60.09722222222222,223.76666666666665,8.180555555555555,4.111111111111112,3.619444444444445,1647.3499999999997,261.31666666666666,408.7388888888889,101.45555555555553,7.438697719110983,1002.8801119708864,1157.7733361698417,50.24999999999999,840.5253694444444,12.975,0.19670046040861303,0.10998972756084764,0.03034778417239087,6.822222222222223,350.43333333333334,2.8888888888888893,5.713888888888889,77.73161375661375,3496.2805555555556,5.958333333333332,2.4166666666666665,47.5,158.33333333333334,205.83333333333334,104842.33333333333,7.201666666666665,6516143.040083334,206703991.85,177403940.65,58954722.22222222,58386111.11111111,57165277.77777778,57609166.666666664,232172222.2222222,11022.175000000001,27152.33888888889,18700.53611111111,41.875277777777775,3794.886111111111,0.18249766679444446,391.57853405953864,76.35726876178684,79.38149751585571
2,1143456050.0,362.9210869565217,441.9323913043478,4495.915434782609,23.031304347826087,8.152173913043478,0.9782608695652174,0.6956521739130435,0.32608695652173914,20.347826086956523,1594.7948671497586,46.399033816425124,4736.984782608695,3.5854468599033815,32.86690821256038,64.01437198067633,5.635628019323673,641.3885265700484,525.2269323671497,13.016002415458937,1.683617808519982,71.31675450153712,299.1865063680281,8.099626701800615,7.527294685990336,5.93247694334651,2099.424319279753,332.20902503293803,1002.5429347826087,441.48647342995173,5.206193952756205,555.795083851148,404.32448436026084,252.41491545893714,350.2759352812608,87.4397342995169,0.3666162230363541,0.19261057392235661,0.06979920004329528,17.48774154589372,628.6096014492754,7.207125603864734,10.15157004830918,71.87199377273666,7779.886654589371,4.067391304347826,1.534782608695652,83.58695652173913,130.2391304347826,213.82608695652175,100232.60869565218,6.249565217391304,9082463.929257033,255104506.39734298,224817100.79661834,58005367.80851998,57442148.66051822,57240688.4057971,57547739.350021966,230274978.04128236,11746.802942468163,26534.883629776024,26210.843697848046,43.229059068950384,3953.7901185770725,0.1518546040773496,280.58943769508124,69.0292703345626,60.230225473849366
3,1144402055.4347825,866.7682608695654,527.6377173913044,7546.814673913043,18.067065217391303,7.271739130434782,1.2934782608695652,0.8369565217391305,0.21739130434782608,21.08695652173913,1260.1956327639755,26.77611499309869,3023.3242386991037,4.253030106970325,18.15137163561076,82.72960231193926,5.461570479641132,460.077978347136,468.35808963077983,10.39667011732229,1.4871706662902318,75.26406847982935,306.79787078863177,9.680208529393315,8.006633885438232,5.310095520421608,2016.835821334462,325.5980833176486,631.795285541753,195.01392986542444,5.323521710126681,916.5002507867314,873.2390101170475,90.69488008971706,1140.3874212299734,19.08781702898551,0.3337094924498528,0.14678831285142763,0.036486985482652765,20.229770531400966,528.9832664768804,4.8849637681159415,6.726721014492754,79.06789438510147,5413.717645790201,3.37391304347826,1.6999999999999997,60.70652173913044,130.22826086956522,190.93478260869566,103370.92391304347,5.793586956521737,8977929.704946782,244079077.8658515,232119418.24746376,57297571.7187402,57967823.73423678,58867811.85300207,58311749.9529456,232480991.59294814,11312.261744384845,25627.004405075593,24525.85381767991,42.446678077357404,3623.5500168611597,0.1489868357029861,220.86214345426285,62.06043755583988,47.56614512324002
4,1148681666.6666667,554.2876315789473,261.533596491228,2958.4785964912285,13.93605263157895,6.5701754385964914,0.8771929824561403,0.2807017543859649,0.14912280701754385,23.157894736842106,1336.5584743107763,17.00618386243386,2312.7301604706204,3.1756074213311063,22.752652464494574,87.18591966026177,5.627027638540796,422.75705061264284,389.25277951824006,9.73832149818992,1.3841967418546377,100.3244917850181,376.94461152882195,11.721529518240049,8.747257031467559,7.182393483709274,2591.3403404344194,424.1915692007796,488.277367028683,177.54967105263157,5.389266752349729,538.4150786128675,544.1155566522714,72.7435498468393,872.3677185622361,20.760719507101093,0.33223295063627295,0.13270708450664323,0.03280752170666274,13.41156711222501,521.0311281676412,5.3542188805346695,7.692355889724311,78.39704393758508,4594.7846560846565,3.1438596491228057,1.7482456140350875,83.17857142857143,103.45535714285714,183.359649122807,107084.4298245614,5.074210526315791,9720723.225650765,241963790.24148917,269994107.0099206,63039590.29518241,65960329.99164579,69081569.54887219,66184444.44444445,264290657.19855198,11722.736400027843,27378.91867864105,25948.697967140073,42.16757414369257,3648.5866367307153,0.1371526762704713,150.29465837413832,58.22303332058337,32.37559255136417
5,1146386066.6666667,542.8797222222223,226.4869444444444,1951.5269444444446,13.816944444444447,5.583333333333333,0.7222222222222222,0.2777777777777778,0.1388888888888889,23.22222222222222,2037.0880731922398,26.03571428571429,3072.3167438271607,3.9925595238095233,42.48159171075838,110.72343474426808,7.474537037037036,594.2539131393298,511.9353505291005,14.881172839506174,1.34566975308642,105.17949735449733,440.72455908289237,12.309678130511463,12.735780423280422,9.355820105820104,3004.568805114639,483.3375440917108,677.3973214285714,273.6143628747796,5.002742904592083,276.3396746101282,298.8259169473927,122.51565255731923,379.8254817700323,37.14362874779542,0.38079656113156396,0.16489813691858257,0.04589255641577279,17.653990299823633,682.2126322751324,8.500551146384481,12.07749118165785,93.50419347955079,6331.170745149911,3.005555555555556,1.5,64.91666666666667,105.72222222222223,170.63888888888889,102979.0,4.789722222222221,10352740.770181872,286534476.44797176,330108688.82925487,62325094.797178134,65470220.45855379,70915376.98412699,67806783.50970018,266605930.335097,11710.154431216932,27402.852689594365,27430.187103174594,42.33176146384481,3645.7833553791893,0.1385352456075176,110.98194992559121,57.65254426779058,19.59403201121301
